Title, Year, ID
"Limite", 1931
"Lincoln", 2012
"Linda Linda Linda", 2005
"Lion", 2016
"The Lion in Winter", 1968
"The Lion King", 1994
"Listen to Britain", 1942
"Little Big Man", 1970
"Little Caesar", 1931
"Little Children", 2006
"Little Dieter Needs to Fly", 1997
"The Little Mermaid", 1989
"Little Miss Sunshine", 2006
"The Little Prince", 2015
"A Little Princess", 1995
"Little Women", 1994
"Live and Become", 2005
"Live Free or Die Hard", 2007
"Lived Once a Song-Thrush", 1970
"The Lives of Others", 2006
"La Jetée", 1962
"La La Land", 2016
"La Notte", 1961
"La Nuit Americane", 1973
"The Lobster", 2015
"Local Hero", 1983
"Lock, Stock and Two Smoking Barrels", 1998
"Logan", 2017
"Lola", 1961
"Lolita", 1962
"Lola Montès", 1955
"London", 2005
"Lone Star", 1996
"Lone Star State of Mind", 2002
"The Loneliness of the Long Distance Runner", 1962
"The Long Day Closes", 1992
"The Long Goodbye", 1973
"The Long Kiss Goodnight", 1996
"The Longest Day", 1962
"The Look of Silence", 2014
"Looper", 2012
"The Lord of the Rings: The Fellowship of the Ring", 2001
"The Lord of the Rings: The Two Towers", 2002
"The Lord of the Rings: The Return of the King", 2003
"Lord of War", 2005
"Lords of Dogtown", 2005
"Lorna's Silence", 2008
"Los Olvidados", 1950
"The Lost Boys", 1987
"Lost Highway", 1997
"Lost in Translation", 2003
"The Lost Weekend", 1945
"Louisiana Story", 1948
"Loulou", 1980
"Love", 1971
"Love & Basketball", 2000
"Love Actually", 2003
"Love and Death", 1975
"The Love Eterne", 1963
"Love Exposure", 2008
"Love in the Afternoon", 1972
"Love Me If You Dare", 2003
"Love Me Tonight", 1932
"Love Streams", 1984
"Love, Simon", 2018
"Lovers of the Arctic Circle", 1998
"The Lovers on the Bridge", 1991
"Loves of a Blonde", 1965
"Loving Vincent", 2017
"La Promesse", 1996
"La Région Centrale", 1971
"La Ronde", 1950
"La Strada", 1954
"La Terra Trema", 1948
"Lucia", 1968
"Lucky Number Slevin", 2006
