Title, Year, ID
"Children of Heaven", 1997
"Children of a Lesser God", 1986
"Children of Men", 2006
"Children of Paradise", 1945
"Chimes at Midnight", 1965
"Chinatown", 1974
"A Chinese Ghost Story", 1987
"Chocolate Strawberry Vanilla", 2013
"The Chorus", 2004
"Christ Stopped at Eboli", 1979
"A Christmas Carol", 1951
"A Christmas Story", 1983
"A Christmas Tale", 2008
"The Chronicle of Anna Magdalena Bach", 1968
"Chronicle of a Summer", 1961
"Chungking Express", 1994
"The Cider House Rules", 1999
"Cinderella Man", 2005
"Cinema Paradiso", 1988
"Circumstance", 2011
"The Circus", 1928
"Citizen Kane", 1941
"Citizenfour", 2014
"City Lights", 1931
"City of God", 2002
"City of Life and Death", 2009
"The City of Lost Children", 1995
"A City of Sadness", 1989
"The Civil War", 1990
"Claire's Knee", 1970
"Clandestinos", 2008
"The Class", 2008
"Cléo From 5 to 7", 1962
"Clerks", 1994
"Climates", 2006
"The Clock", 1945
"A Clockwork Orange", 1971
"Close Encounters of the Third Kind", 1977
"A Close Shave", 1995
"Closely Watched Trains", 1966
"Close-Up", 1990
"Cloud Atlas", 2012
"The Cloud-Capped Star", 1960
"Cloverfield", 2008
"The Club", 2015
"Clue: The Movie", 1985
"Clueless", 1995
"CM101MMXI Fundamentals", 2013
"Cobain: Montage of Heck", 2015
"Coco", 2017
"Code Unknown", 2000
"Coherence", 2013
"Colassal", 2017
"Collateral", 2004
"The Color of Pomegranates", 1969
"The Color Purple", 1985
"Colossal Youth", 2006
"Come and See", 1985
"Come Drink With Me", 1966
"The Commitments", 1991
"Con Air", 1997
"Confessions", 2010
"The Conformist", 1970
"The Consequences of Love", 2004
"The Constant Gardener", 2005
"Contact", 1997
"Contempt", 1963
"Control", 2007
"The Conversation", 1974
"The Cook, the Thief, His Wife & Her Lover", 1989
"Cool Hand Luke", 1967
"The Cool World", 1963
"Coraline", 2009
"The Count of Monte Cristo", 2002
"The Counterfeiters", 2007
"A Countess From Hong Kong", 1967
"Courage for Every Day", 1964
"Courage Under Fire", 1996
"The Cove", 2009
"The Cow", 1969
